Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603",38.000000,-24.000000,0.000000,top
"C2","100nF","C_0603",42.000000,-24.000000,0.000000,top
"C3","100nF","C_0603",38.000000,-36.000000,0.000000,top
"C4","10uF","C_0805",42.000000,-36.000000,0.000000,top
"C5","1uF","C_0603",46.000000,-30.000000,0.000000,top
"C6","100nF","C_0603",16.000000,-8.000000,0.000000,top
"C7","10uF","C_0805",24.000000,-8.000000,0.000000,top
"C8","100nF","C_0603",16.000000,-52.000000,0.000000,top
"C9","10uF","C_0805",24.000000,-52.000000,0.000000,top
"C10","100nF","C_0603",58.000000,-24.000000,0.000000,top
"C11","100nF","C_0603",62.000000,-24.000000,0.000000,top
"C12","10nF","C_0603",62.000000,-36.000000,0.000000,top
"C13","100nF","C_0603",66.000000,-32.000000,0.000000,top
"FB1","BLM18PG471SN1D","R_0603",70.000000,-10.000000,0.000000,top
"FB2","BLM18PG471SN1D","R_0603",70.000000,-14.000000,0.000000,top
"H1","","MountingHole_3.2mm_M3",18.000000,-4.000000,0.000000,top
"H2","","MountingHole_3.2mm_M3",76.000000,-4.000000,0.000000,top
"H3","","MountingHole_3.2mm_M3",18.000000,-56.000000,0.000000,top
"H4","","MountingHole_3.2mm_M3",76.000000,-56.000000,0.000000,top
"J1","Header_2x5_0.1in","PinHeader_2x5_2.54mm",75.000000,-30.000000,0.000000,top
"PP1_0","POGO_C1_CH0_IP","PogoPin_MillMax_0906",6.000000,-6.000000,0.000000,top
"PP1_1","POGO_C1_CH0_IN","PogoPin_MillMax_0906",6.000000,-7.270000,0.000000,top
"PP1_2","POGO_C1_CH0_VP","PogoPin_MillMax_0906",6.000000,-8.540000,0.000000,top
"PP1_3","POGO_C1_CH0_VN","PogoPin_MillMax_0906",6.000000,-9.810000,0.000000,top
"PP1_4","POGO_C1_CH1_IP","PogoPin_MillMax_0906",6.000000,-11.080000,0.000000,top
"PP1_5","POGO_C1_CH1_IN","PogoPin_MillMax_0906",6.000000,-12.350000,0.000000,top
"PP1_6","POGO_C1_CH1_VP","PogoPin_MillMax_0906",6.000000,-13.620000,0.000000,top
"PP1_7","POGO_C1_CH1_VN","PogoPin_MillMax_0906",6.000000,-14.890000,0.000000,top
"PP1_8","POGO_C1_CH2_IP","PogoPin_MillMax_0906",6.000000,-16.160000,0.000000,top
"PP1_9","POGO_C1_CH2_IN","PogoPin_MillMax_0906",6.000000,-17.430000,0.000000,top
"PP1_10","POGO_C1_CH2_VP","PogoPin_MillMax_0906",6.000000,-18.700000,0.000000,top
"PP1_11","POGO_C1_CH2_VN","PogoPin_MillMax_0906",6.000000,-19.970000,0.000000,top
"PP1_12","POGO_C1_CH3_IP","PogoPin_MillMax_0906",6.000000,-21.240000,0.000000,top
"PP1_13","POGO_C1_CH3_IN","PogoPin_MillMax_0906",6.000000,-22.510000,0.000000,top
"PP1_14","POGO_C1_CH3_VP","PogoPin_MillMax_0906",6.000000,-23.780000,0.000000,top
"PP1_15","POGO_C1_CH3_VN","PogoPin_MillMax_0906",6.000000,-25.050000,0.000000,top
"PP1_16","POGO_C1_RTD_FP","PogoPin_MillMax_0906",6.000000,-26.320000,0.000000,top
"PP1_17","POGO_C1_RTD_FN","PogoPin_MillMax_0906",6.000000,-27.590000,0.000000,top
"PP1_18","POGO_C1_RTD_SP","PogoPin_MillMax_0906",6.000000,-28.860000,0.000000,top
"PP1_19","POGO_C1_RTD_SN","PogoPin_MillMax_0906",6.000000,-30.130000,0.000000,top
